start:id	end:id	RELTYPE	COUNT	DISTANCE
6	18332	TREATS	11	128734.0
6	14955	TREATS	3	45445.0
6	13981	TREATS	2	329743.0
6	13509	TREATS	3	84953.66666666666
6	11761	TREATS	2	1160.0
6	6556	TREATS	2	127621.49999999999
1190254	6	USES	2	93084.0
1171904	6	USES	2	29730.999999999996
1167294	6	USES	2	47318.5
958363	6	USES	26	4052.1153846153843
598233	6	USES	3	22154.666666666668
559062	6	USES	2	1511.0
157227	6	USES	2	2953.0
71174	6	USES	2	2190.0
55682	6	USES	46	23043.521739130436
18543	6	USES	2	6855.000000000001
4814	6	USES	2	22568.0
7	1389	ADMINISTERED_TO	5	40798.8
7	3324	ADMINISTERED_TO	2	2272.5
7	12735	ADMINISTERED_TO	4	5268.25
7	13515	ADMINISTERED_TO	3	4867.333333333333
7	13796	ADMINISTERED_TO	9	5183.333333333333
7	13981	ADMINISTERED_TO	33	19972.363636363636
7	17477	ADMINISTERED_TO	4	5427.5
7	18332	ADMINISTERED_TO	3	471918.00000000006
7	2992	AFFECTS	2	260863.00000000003
7	14537	AFFECTS	3	70833.33333333333
7	18689	AFFECTS	2	47193.0
7	133832	AFFECTS	2	5776.0
7	559584	AFFECTS	6	2184.666666666667
7	16026	ASSOCIATED_WITH	10	6478.099999999999
7	133219	ASSOCIATED_WITH	2	4666.0
7	418453	ASSOCIATED_WITH	4	21108.25
7	1970	AUGMENTS	2	14512.0
7	3800	AUGMENTS	3	346617.6666666667
7	5653	AUGMENTS	2	47024.5
7	12431	AUGMENTS	5	1629.6000000000001
7	80100	AUGMENTS	2	6308.5
7	127532	AUGMENTS	2	914.5000000000001
7	418453	AUGMENTS	2	42218.5
7	559584	AUGMENTS	3	4371.333333333333
7	1963	CAUSES	2	10489.5
7	3771	CAUSES	14	2319.285714285714
7	5709	CAUSES	18	1906.2222222222224
7	14452	CAUSES	12	956.3333333333333
7	16026	CAUSES	25	2590.04
7	20760	CAUSES	3	5947.666666666666
7	20801	CAUSES	6	25907.5
7	54692	CAUSES	4	490.5
7	55229	CAUSES	2	2854.5
7	80236	CAUSES	6	21919.5
7	83869	CAUSES	5	50507.4
7	115119	CAUSES	9	40443.11111111112
7	126281	CAUSES	3	531.3333333333334
7	127532	CAUSES	2	914.5000000000001
7	133219	CAUSES	45	205.46666666666667
7	133365	CAUSES	2	26203.5
7	196787	CAUSES	2	1466.5
7	269113	CAUSES	2	32929.5
7	418453	CAUSES	7	12061.0
7	514218	CAUSES	4	757.75
7	1060453	CAUSES	2	509.5
7	1115429	CAUSES	5	62377.6
7	212697	COEXISTS_WITH	2	466.99999999999994
7	8	COEXISTS_WITH	2	788.5
7	6575	COEXISTS_WITH	8	9816.75
7	9121	COEXISTS_WITH	2	3438.5
7	168387	COEXISTS_WITH	3	18691.0
86114	7	COEXISTS_WITH	3	3226.6666666666665
6682	7	COEXISTS_WITH	2	255584.99999999997
6575	7	COEXISTS_WITH	3	26181.333333333332
1694	7	COEXISTS_WITH	4	2049.25
23724	7	compared_with	3	302.3333333333333
6575	7	compared_with	2	39273.0
7	133863	DISRUPTS	2	22981.5
23724	7	higher_than	3	302.3333333333333
7	66270	INHIBITS	2	1192.5
7	61926	INHIBITS	2	3116.5
7	13798	INHIBITS	4	2365.25
7	11188	INHIBITS	2	3584.4999999999995
7	6575	INHIBITS	16	4907.375
55025	7	INHIBITS	2	1202.0
6575	7	INHIBITS	2	39273.0
1780	7	INHIBITS	2	13802.999999999998
7	55025	INTERACTS_WITH	2	1202.0
7	19476	INTERACTS_WITH	2	33840.5
7	19378	INTERACTS_WITH	2	1327.0
